,momentum,reversal,lowvol,multifactor,rotation,基准·等权全市场,基准·沪深300
2023-09-01,0.0,0.0,0.0,-0.016027184284074014,,-0.007890182816100419,-0.023881058119328058
2023-10-09,0.0,0.0,0.0,-0.018737574579925975,-0.004684393644981494,-0.007941026973356143,-0.028157795484097248
2023-11-01,0.0,0.0,0.0,-0.011309859814652823,-0.0028274649536632057,-0.005979593141528881,-0.03085707772346946
2023-12-01,0.0,0.0,0.0,0.1505927811335097,0.03764819528337743,0.05611409101553623,-0.024684754818637744
2024-01-02,0.03104121230394341,-0.01350553240276997,-0.015322527760996518,-0.02635298853577306,-0.006034959098899034,-0.0018054966356819537,-0.027715568724733575
2024-02-01,-0.19149126146547402,-0.14720140002647242,-0.004914650880217031,-0.12765159641883583,-0.11781472719774982,-0.20149046975093618,-0.04979993208026334
2024-03-01,-0.027275351123380975,-0.09903812812653834,0.04417357512066045,-0.013668544269673788,-0.023952112099733164,0.08942805024675436,0.09947757877496732
2024-04-01,-0.06839710830790546,0.08326148027550895,0.006107752814318745,-0.0022817688100200684,0.005858159106259056,0.05035750763107069,0.016351970150941142
2024-05-06,-0.05106252884339413,-0.15220873814897184,0.03891466901428764,-0.07679009184429197,0.02166226180213456,-0.012460276833290972,0.017307023764826956
2024-06-03,-0.05796839637283058,-0.02224236479885755,0.006780171265126755,-0.06076726701377633,-0.00023367838621432026,-0.048210508883308884,-0.01889892506041757
2024-07-01,-0.06714248359215624,-0.047612593177624896,-0.011374013893991508,-0.04005679488585212,-0.016621397805889712,-0.057277409002094284,-0.03081017067223968
2024-08-01,-0.09317751777234096,0.14223837401105754,0.012455696207278155,-0.016916182071784802,0.012228634709238906,-9.053614118795523e-07,-0.016937018785686764
2024-09-02,-0.11778737416104823,-0.08121935168859762,-0.04870615015712754,-0.0921648140493293,-0.05501280621919677,-0.05597582669866161,-0.045114892944985274
2024-10-08,0.04581836004686757,0.4747459056266774,0.21760450955538757,0.26980907436195567,0.2235853709192718,0.3732313934113289,0.3035488405854807
2024-11-01,-0.0033963839611721447,-0.038542564345249386,-0.03793481829526857,-0.01548650270384233,-0.03555063966199713,-0.03843442998811222,-0.08601301661145189
2024-12-02,0.026665918820187873,0.09461337937395409,0.05488043495965811,0.07357170805170488,0.0753628310172103,0.11498275617488397,0.014809692495154403
2025-01-02,-0.1541300552541136,-0.02030485024359685,-0.006044676197937915,-0.06559239101874847,-0.032426698866522996,-0.08852247954961877,-0.03222946426083495
2025-02-05,-0.0024594416784220474,-0.008519514840404363,-0.010532589887987998,0.0024303264466341012,-0.006401868205167072,0.014571435471371928,-0.006627578264056133
2025-03-03,0.10729214531486497,0.16619371740253075,-0.010000111999038719,0.06703857090885923,0.087340211631978,0.07996205890971804,0.024608176902726653
2025-04-01,-0.008827563886985579,-0.03582351487875002,0.03085536708261416,0.04572279780691568,0.007897702207628268,0.009566769944188022,-0.00020316474088777348
2025-05-06,-0.15986722639210016,-0.08412404245956906,-0.006140920673550987,-0.07054517298709073,-0.07149208533048595,-0.0016063796211733617,-0.020356613713062743
2025-06-03,0.013665689596205732,0.06702677256563572,0.030480791112911465,0.03567729129831276,0.04131553729925996,0.02926786715810668,0.011413822619691594
2025-07-01,0.024069973262877298,0.06379101072886728,0.0061715103899977475,0.024365785879212787,0.02852963245686957,0.0564628628812526,0.02355912887038203
2025-08-01,-0.039784113566728396,0.03806717284747396,0.016380230462606615,0.04721074866479702,0.03038961978315159,0.05246307245632087,0.028449613975996435
2025-09-01,0.11252349390306171,0.09202612320281878,0.023275038312970953,0.06294429622719422,0.060909375183748074,0.09167896301833067,0.1156074210898832
2025-10-09,-0.06399576635654558,-0.011567261096602555,-0.021247389619668322,0.002157019946411376,-0.016093344593027324,0.007487268840162756,0.04106585081713887
2025-11-03,-0.027174905803337146,0.028252132644005723,0.025354011827002143,0.08871109566994018,0.0417323858592349,0.015462972790578802,-0.01190789641319212
2025-12-01,0.017030836327924126,-0.05656778765889903,-0.013503044389654884,0.03813324327908507,-0.006655304780194446,-0.010616872835796773,-0.016527700176215188
2026-01-05,-0.02871128182115401,0.05156194430891037,-0.024324146488212017,0.022345062852275444,0.019668747015376763,0.029856666362304485,0.030866450052332794
2026-02-02,0.05589637335473818,0.051781006320648304,-0.007980059516559113,0.01848929952702494,0.026299176871559117,0.03565471422876697,-0.023691378305336297
2026-03-02,0.00330064367008176,-0.009782819201479942,0.019808704057300064,0.009108853493184688,0.0051918961417056556,0.04680064212936954,0.026637110886282622
2026-04-01,-0.12001327997988775,-0.030751505987894223,-0.01844557105869471,-0.06707174824689432,-0.059305119268511855,-0.06798262272052431,-0.04284502830605652
2026-05-06,0.11869048307031749,0.03296313097392578,-0.00815059293450382,0.0011438941767059063,0.01314497566995935,0.0696321900831022,0.07755514165711097
2026-06-01,0.11320930024539377,-0.05933339381017899,-0.024213324651658152,-0.062022890885279014,-0.012042326351088813,-0.03786361351457689,-0.006731473071032057
2026-07-01,0.14431935599007328,-0.09621253525045137,-0.06582892801394924,-0.062495077581705694,0.052011561494100925,-0.02773218391545721,0.02368163558520786
